bracket_id,E_left,E_right,user_label,user_zero_estimate,comment
1,2.69321291064553214e-01,2.69326136306815345e-01,true,,
2,3.00054662733136635e-01,3.00059507975398765e-01,false,,
3,3.05772048602430124e-01,3.05776893844692255e-01,false,,
4,3.22013300665033253e-01,3.22018145907295383e-01,false,,
5,3.24324481224061212e-01,3.24329326466323287e-01,false,,
6,3.30041867093354646e-01,3.30046712335616776e-01,false,,
7,3.30458557927896357e-01,3.30463403170158487e-01,false,,
8,3.39848637431871603e-01,3.39853482674133733e-01,false,,
9,3.45381904095204750e-01,3.45386749337466881e-01,true,,
10,3.57945617280864048e-01,3.57950462523126123e-01,true,,
