bracket_id,E_left,E_right,user_label,user_zero_estimate,comment
1,2.70119722486124314e-01,2.70124572228611470e-01,false,,
2,2.73349650982549153e-01,2.73354500725036254e-01,false,,
3,2.79329383469173465e-01,2.79334233211660621e-01,false,,
4,2.80687311365568293e-01,2.80692161108055394e-01,false,,
5,2.85755292264613270e-01,2.85760142007100371e-01,false,,
6,2.91177304365218270e-01,2.91182154107705427e-01,false,,
7,2.91555584279213964e-01,2.91560434021701120e-01,true,,
8,3.00440312515625807e-01,3.00445162258112908e-01,true,,
9,3.16628752937646862e-01,3.16633602680134019e-01,false,,
10,3.24926662333116678e-01,3.24931512075603779e-01,false,,
11,3.28942249112455620e-01,3.28947098854942777e-01,false,,
12,3.33146975848792437e-01,3.33151825591279538e-01,false,,
13,3.34354561728086419e-01,3.34359411470573520e-01,false,,
14,3.36677588379418968e-01,3.36682438121906125e-01,false,,
15,3.36924925246262330e-01,3.36929774988749431e-01,false,,
16,3.39199454472723649e-01,3.39204304215210750e-01,false,,
17,3.39621382069103417e-01,3.39626231811590573e-01,false,,
18,3.40571931596579835e-01,3.40576781339066936e-01,false,,
19,3.42366336316815845e-01,3.42371186059302945e-01,false,,
20,3.46862047602380097e-01,3.46866897344867253e-01,false,,
21,3.47778648932446588e-01,3.47783498674933744e-01,false,,
22,3.50703043652182633e-01,3.50707893394669734e-01,false,,
23,3.54582837641882087e-01,3.54587687384369188e-01,false,,
24,3.56862216610830507e-01,3.56867066353317663e-01,false,,
25,3.57405387769388461e-01,3.57410237511875617e-01,false,,
