Ecm_cutoff,Ecm_cutoff,Lbyas,irrep,level_index_used,lattice_Ecm,lattice_Ecm_err_or_sigma,model_Ecm,residual_model_minus_lattice,normalized_residual,chi2_contribution,row_index_or_window_row,bracket_id,source_window,lattice_source_file,status
0.315,0.315,20,000_A1m,0,0.2692266019900497,0.3102086076137222,0.269091358456039,-0.00013524353401073164,-0.0004359760841296174,1.2563891873560471e-06,1284,1,1034:1534,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_000_A1m_n0.jack,OK
0.315,0.315,20,100_A2,0,0.2916083321793746,0.30454737102519835,0.291363238592572,-0.00024509358680258053,-0.0008047798474750301,-6.711209581638076e-06,5872,7,5622:6122,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_001_A2_n0.jack,OK
0.315,0.315,20,100_A2,1,0.30003551382783683,0.35251246219978727,0.3002306041394292,0.0001950903115923719,0.000553428126696423,8.3176341316016e-06,7706,8,7456:7956,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_001_A2_n1.jack,OK
0.315,0.315,20,110_A2,0,0.3073332928312638,0.31612339030060216,0.3067009601854355,-0.000632332645828293,-0.0020002716193414445,1.564688732259438e-05,9017,11,8767:9267,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_011_A2_n0.jack,OK
0.315,0.315,20,200_A2,0,0.2866396248038106,0.3684436473790555,0.2861777865441955,-0.0004618382596150994,-0.0012534841159575194,-3.508943639690224e-06,4776,5,4526:5026,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_002_A2_n0.jack,OK
0.315,0.315,20,200_A2,1,0.2993265535424016,0.3533496906632773,0.2989484404938859,-0.0003781130485157047,-0.0010700817306672711,1.7160453119394292e-05,7446,9,7196:7696,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_002_A2_n1.jack,OK
0.325,0.325,20,000_A1m,0,0.2692266019900497,0.3102086076137222,0.26912634884412395,-0.00010025314592576606,-0.0003231797682758153,3.7543379895605353e-06,1284,1,1034:1534,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_000_A1m_n0.jack,OK
0.325,0.325,20,100_A2,0,0.2916083321793746,0.30454737102519835,0.29139180925248337,-0.0002165229268912272,-0.0007109663306642434,-2.7926748749274872e-05,5872,7,5622:6122,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_001_A2_n0.jack,OK
0.325,0.325,20,100_A2,1,0.30003551382783683,0.35251246219978727,0.3002604019617344,0.00022488813389759388,0.0006379579674835382,3.920429811366478e-06,7706,8,7456:7956,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_001_A2_n1.jack,OK
0.325,0.325,20,110_A2,0,0.3073332928312638,0.31612339030060216,0.306714424675339,-0.0006188681559248232,-0.001957679105416213,2.2334856436812158e-05,9017,11,8767:9267,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_011_A2_n0.jack,OK
0.325,0.325,20,110_A2,1,0.31643789359657837,0.3108645014715986,0.31567575391141545,-0.0007621396851629214,-0.0024516780833933605,3.586939292264457e-05,10883,15,10633:11133,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_011_A2_n1.jack,OK
0.325,0.325,20,110_A2,2,0.31813597720593867,0.4660501217789751,0.3191501685516256,0.0010141913456869212,0.00217614221795634,2.8776203520189153e-05,11569,17,11319:11819,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_011_A2_n2.jack,OK
0.325,0.325,20,111_A2,0,0.32035801348805054,0.33901409665083876,0.31936788103383623,-0.0009901324542143097,-0.0029206232543010687,2.1144139439972338e-05,11624,11,11374:11874,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_111_A2_n0.jack,OK
0.325,0.325,20,200_A2,0,0.2866396248038106,0.3684436473790555,0.2861878015803109,-0.0004518232234997366,-0.0012263021135356963,-8.733733812993213e-06,4776,5,4526:5026,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_002_A2_n0.jack,OK
0.325,0.325,20,200_A2,1,0.2993265535424016,0.3533496906632773,0.2989820463556958,-0.0003445071867058114,-0.0009749752039095674,2.0176709442086987e-05,7446,9,7196:7696,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_002_A2_n1.jack,OK
0.335,0.335,20,000_A1m,0,0.2692266019900497,0.3102086076137222,0.2693402690814346,0.00011366709138488362,0.00036642146154249885,-6.1303753555695935e-06,1284,1,1034:1534,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_000_A1m_n0.jack,OK
0.335,0.335,20,100_A2,0,0.2916083321793746,0.30454737102519835,0.29160384278087037,-4.489398504226028e-06,-1.474121575606894e-05,-7.711806628427104e-07,5872,7,5622:6122,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_001_A2_n0.jack,OK
0.335,0.335,20,100_A2,1,0.30003551382783683,0.35251246219978727,0.30051440638975,0.0004788925619131912,0.0013585124308081275,9.444485845878345e-06,7706,8,7456:7956,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_001_A2_n1.jack,OK
0.335,0.335,20,110_A2,0,0.3073332928312638,0.31612339030060216,0.3068245125926618,-0.0005087802386020135,-0.0016094356008209759,2.252002568917913e-05,9017,11,8767:9267,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_011_A2_n0.jack,OK
0.335,0.335,20,110_A2,1,0.31643789359657837,0.3108645014715986,0.3159141555682581,-0.0005237380283202864,-0.0016847791428129225,6.815736247954012e-06,10883,15,10633:11133,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_011_A2_n1.jack,OK
0.335,0.335,20,110_A2,2,0.31813597720593867,0.4660501217789751,0.3191579508820395,0.0010219736761008513,0.0021928407017679607,2.449770302858142e-05,11569,17,11319:11819,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_011_A2_n2.jack,OK
0.335,0.335,20,110_A2,3,0.3291548445548671,0.3121987789168383,0.32907572801577945,-7.911653908765359e-05,-0.000253417195807573,2.1159613125290128e-07,13543,18,13293:13793,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_011_A2_n3.jack,OK
0.335,0.335,20,111_A2,0,0.32035801348805054,0.33901409665083876,0.3194483702524709,-0.0009096432355796269,-0.002683201803600801,5.2755983050235316e-05,11624,11,11374:11874,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_111_A2_n0.jack,OK
0.335,0.335,20,111_A2,1,0.33413173149593406,0.464880168674009,0.33434044840819266,0.00020871691225859967,0.00044896927492934125,3.790403380748882e-06,14701,20,14451:14951,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_111_A2_n1.jack,OK
0.335,0.335,20,200_A2,0,0.2866396248038106,0.3684436473790555,0.2862576984181243,-0.0003819263856862931,-0.001036593759732724,4.942756162104477e-06,4776,5,4526:5026,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_002_A2_n0.jack,OK
0.335,0.335,20,200_A2,1,0.2993265535424016,0.3533496906632773,0.29925120994065674,-7.534360174488164e-05,-0.00021322673752297103,5.395977264733879e-06,7446,9,7196:7696,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_002_A2_n1.jack,OK
0.335,0.335,20,200_A2,2,0.33094254749003943,0.3691363258052773,0.33107520713286614,0.00013265964282671572,0.00035937845601436384,3.0796710121818197e-06,14010,18,13760:14260,/home/digonto/Codes/KKpi_I2/spectrum/Ecm_data/data/20_002_A2_n2.jack,OK
