Ecm_cutoff,Lbyas,irrep,level_index,lattice_Ecm,model_Ecm,residual_model_minus_lattice,sigma_or_weight,row_index,bracket_id,source_window,status
0.315,0.315,20,000_A1m,0,0.2692266019900497,0.269091358456039,-0.00013524353401073164,0.3102086076137222,1284,1,1034:1534,MAPPED
0.315,0.315,20,100_A2,0,0.2916083321793746,0.291363238592572,-0.00024509358680258053,0.30454737102519835,5872,7,5622:6122,MAPPED
0.315,0.315,20,100_A2,1,0.30003551382783683,0.3002306041394292,0.0001950903115923719,0.35251246219978727,7706,8,7456:7956,MAPPED
0.315,0.315,20,110_A2,0,0.3073332928312638,0.3067009601854355,-0.000632332645828293,0.31612339030060216,9017,11,8767:9267,MAPPED
0.315,0.315,20,200_A2,0,0.2866396248038106,0.2861777865441955,-0.0004618382596150994,0.3684436473790555,4776,5,4526:5026,MAPPED
0.315,0.315,20,200_A2,1,0.2993265535424016,0.2989484404938859,-0.0003781130485157047,0.3533496906632773,7446,9,7196:7696,MAPPED
0.325,0.325,20,000_A1m,0,0.2692266019900497,0.26912634884412395,-0.00010025314592576606,0.3102086076137222,1284,1,1034:1534,MAPPED
0.325,0.325,20,100_A2,0,0.2916083321793746,0.29139180925248337,-0.0002165229268912272,0.30454737102519835,5872,7,5622:6122,MAPPED
0.325,0.325,20,100_A2,1,0.30003551382783683,0.3002604019617344,0.00022488813389759388,0.35251246219978727,7706,8,7456:7956,MAPPED
0.325,0.325,20,110_A2,0,0.3073332928312638,0.306714424675339,-0.0006188681559248232,0.31612339030060216,9017,11,8767:9267,MAPPED
0.325,0.325,20,110_A2,1,0.31643789359657837,0.31567575391141545,-0.0007621396851629214,0.3108645014715986,10883,15,10633:11133,MAPPED
0.325,0.325,20,110_A2,2,0.31813597720593867,0.3191501685516256,0.0010141913456869212,0.4660501217789751,11569,17,11319:11819,MAPPED
0.325,0.325,20,111_A2,0,0.32035801348805054,0.31936788103383623,-0.0009901324542143097,0.33901409665083876,11624,11,11374:11874,MAPPED
0.325,0.325,20,200_A2,0,0.2866396248038106,0.2861878015803109,-0.0004518232234997366,0.3684436473790555,4776,5,4526:5026,MAPPED
0.325,0.325,20,200_A2,1,0.2993265535424016,0.2989820463556958,-0.0003445071867058114,0.3533496906632773,7446,9,7196:7696,MAPPED
0.335,0.335,20,000_A1m,0,0.2692266019900497,0.2693402690814346,0.00011366709138488362,0.3102086076137222,1284,1,1034:1534,MAPPED
0.335,0.335,20,100_A2,0,0.2916083321793746,0.29160384278087037,-4.489398504226028e-06,0.30454737102519835,5872,7,5622:6122,MAPPED
0.335,0.335,20,100_A2,1,0.30003551382783683,0.30051440638975,0.0004788925619131912,0.35251246219978727,7706,8,7456:7956,MAPPED
0.335,0.335,20,110_A2,0,0.3073332928312638,0.3068245125926618,-0.0005087802386020135,0.31612339030060216,9017,11,8767:9267,MAPPED
0.335,0.335,20,110_A2,1,0.31643789359657837,0.3159141555682581,-0.0005237380283202864,0.3108645014715986,10883,15,10633:11133,MAPPED
0.335,0.335,20,110_A2,2,0.31813597720593867,0.3191579508820395,0.0010219736761008513,0.4660501217789751,11569,17,11319:11819,MAPPED
0.335,0.335,20,110_A2,3,0.3291548445548671,0.32907572801577945,-7.911653908765359e-05,0.3121987789168383,13543,18,13293:13793,MAPPED
0.335,0.335,20,111_A2,0,0.32035801348805054,0.3194483702524709,-0.0009096432355796269,0.33901409665083876,11624,11,11374:11874,MAPPED
0.335,0.335,20,111_A2,1,0.33413173149593406,0.33434044840819266,0.00020871691225859967,0.464880168674009,14701,20,14451:14951,MAPPED
0.335,0.335,20,200_A2,0,0.2866396248038106,0.2862576984181243,-0.0003819263856862931,0.3684436473790555,4776,5,4526:5026,MAPPED
0.335,0.335,20,200_A2,1,0.2993265535424016,0.29925120994065674,-7.534360174488164e-05,0.3533496906632773,7446,9,7196:7696,MAPPED
0.335,0.335,20,200_A2,2,0.33094254749003943,0.33107520713286614,0.00013265964282671572,0.3691363258052773,14010,18,13760:14260,MAPPED
