Ecm_cutoff,Lbyas,irrep,user_true_windows,lattice_levels,count_match,window_brackets,window_rows,status
0.315,20,000_A1m,1,1,True,1,1034:1534,PASS
0.315,20,100_A2,2,2,True,7;8,5622:6122;7456:7956,PASS
0.315,20,110_A2,1,1,True,11,8768:9268,PASS
0.315,20,111_A2,0,0,True,,,PASS
0.315,20,200_A2,2,2,True,5;9,4526:5026;7196:7696,PASS
0.325,20,000_A1m,1,1,True,1,1034:1534,PASS
0.325,20,100_A2,2,2,True,7;8,5622:6122;7456:7956,PASS
0.325,20,110_A2,3,3,True,11;15;17,8768:9268;10632:11132;11320:11820,PASS
0.325,20,111_A2,1,1,True,11,11374:11874,PASS
0.325,20,200_A2,2,2,True,5;9,4526:5026;7196:7696,PASS
0.335,20,000_A1m,1,1,True,1,1034:1534,PASS
0.335,20,100_A2,2,2,True,7;8,5622:6122;7456:7956,PASS
0.335,20,110_A2,4,4,True,11;15;17;18,8768:9268;10632:11132;11320:11820;13292:13792,PASS
0.335,20,111_A2,2,2,True,11;20,11374:11874;14452:14952,PASS
0.335,20,200_A2,3,3,True,5;9;18,4526:5026;7196:7696;13760:14260,PASS
0.345,20,000_A1m,1,1,True,1,1034:1534,PASS
0.345,20,100_A2,2,2,True,7;8,5622:6122;7456:7956,PASS
0.345,20,110_A2,4,4,True,11;15;17;18,8768:9268;10632:11132;11320:11820;13292:13792,PASS
0.345,20,111_A2,4,4,True,11;20;23;28,11374:11874;14452:14952;15282:15782;16426:16926,PASS
0.345,20,200_A2,3,3,True,5;9;18,4526:5026;7196:7696;13760:14260,PASS
0.355,20,000_A1m,2,2,True,1;9,1034:1534;16732:17232,PASS
0.355,20,100_A2,2,2,True,7;8,5622:6122;7456:7956,PASS
0.355,20,110_A2,4,4,True,11;15;17;18,8768:9268;10632:11132;11320:11820;13292:13792,PASS
0.355,20,111_A2,5,5,True,11;20;23;28;29,11374:11874;14452:14952;15282:15782;16426:16926;17712:18212,PASS
0.355,20,200_A2,5,4,False,5;9;18;27;32,4526:5026;7196:7696;13760:14260;17268:17768;18400:18900,BLOCKED
